,trial_id,last_updated,trial_status,completion_date,secondary_ids,results
0,ACTRN12620000443998,6/04/2020,Not yet recruiting,31/12/2020,['Nil known'],{}
1,ACTRN12620000448943,6/04/2020,Not yet recruiting,1/12/2020,['Nil known'],{}
2,ACTRN12620000447954,6/04/2020,Recruiting,31/07/2020,['Nil'],{}
3,ACTRN12620000454976,8/04/2020,Not yet recruiting,9/03/2021,['Protocol Number DT 62996/2020'],{}
4,ACTRN12620000468921,14/04/2020,Not yet recruiting,13/07/2020,['Nil'],{}
5,ACTRN12620000477921,16/04/2020,Not yet recruiting,20/04/2020,['Nil Known'],{}
6,ACTRN12620000472976,15/04/2020,Not yet recruiting,13/10/2020,['Nil known'],{}
7,ACTRN12620000470998,14/04/2020,Not yet recruiting,1/05/2020,['Protocol Number FBP-004'],{}
8,ACTRN12620000473965,15/04/2020,Not yet recruiting,31/07/2020,['BV-2020/19'],{}
9,ACTRN12620000478910,16/04/2020,Not yet recruiting,31/12/2020,['None'],{}
10,ACTRN12620000480987,16/04/2020,Not yet recruiting,16/07/2020,['None'],{}
11,ACTRN12620000417987,22/04/2020,Recruiting,11/05/2020,['None'],{}
12,ACTRN12620000457943,8/04/2020,Not yet recruiting,1/01/2021,['MRINZ/20/01'],{}
13,ACTRN12620000492954,20/04/2020,Not yet recruiting,,['Nil known'],{}
14,ACTRN12620000482965,17/04/2020,"Active, not recruiting",18/03/2020,['Nil known'],"{'citations': [], 'basic_reporting_doc': ''}"
15,ACTRN12620000516987,27/04/2020,Not yet recruiting,,['None'],{}
16,ACTRN12620000517976,27/04/2020,Not yet recruiting,26/05/2021,['None'],{}
17,ACTRN12620000524998,28/04/2020,Not yet recruiting,1/12/2020,['None'],{}
18,ACTRN12620000555954,11/05/2020,Not yet recruiting,30/06/2020,['Nil known'],{}
19,ACTRN12620000557932,11/05/2020,Not yet recruiting,31/05/2021,['Nil'],{}
20,ACTRN12620000566932,14/05/2020,Not yet recruiting,3/08/2022,['Nil known'],{}
21,ACTRN12620000445976,15/05/2020,Recruiting,,['none'],{}
22,ACTRN12620000580976,19/05/2020,Not yet recruiting,,['none'],{}
23,ACTRN12620000588998,21/05/2020,Not yet recruiting,,['Nil Known'],{}
24,ACTRN12620000571976,15/05/2020,Not yet recruiting,20/07/2020,['None'],{}
25,ACTRN12620000579998,19/05/2020,Not yet recruiting,1/06/2020,['Nil known'],{}
26,ACTRN12620000612910,25/05/2020,Not yet recruiting,,['Nil Known'],{}
27,ACTRN12620000640909,1/06/2020,Not yet recruiting,19/10/2020,['Nil'],{}
28,ACTRN12620000635965,29/05/2020,Not yet recruiting,31/08/2020,['No secondary ID'],{}
29,ACTRN12620000636954,29/05/2020,Not yet recruiting,,['None'],{}
30,ACTRN12620000634976,29/05/2020,Not yet recruiting,,['None'],{}
31,ACTRN12620000501943,12/06/2020,Recruiting,31/12/2020,['Nil Known'],{}
32,ACTRN12620000500954,22/04/2020,Not yet recruiting,1/06/2020,['Nil known'],{}
33,ACTRN12620000674932,12/06/2020,Not yet recruiting,,['UQ-1-SARS-CoV-2-Sclamp'],{}
34,ACTRN12620000676910,15/06/2020,Not yet recruiting,30/06/2021,['None'],{}
35,ACTRN12620000688987,19/06/2020,Completed,5/06/2020,['Nil Known'],"{'citations': [], 'basic_reporting_doc': ''}"
36,ACTRN12620000698976,23/06/2020,Recruiting,30/11/2020,['Nil known'],{}
37,ACTRN12620000707965,29/06/2020,Not yet recruiting,30/09/2020,['Nil known'],{}
